PLATFORM_CODE;TECH_PARAMETER_ID;DIM_LEVEL;PARAMETER_VALUE
5902287;429;1;GMMC GOODHOPE 2009
1900852;429;1;GMMC
6904118;429;1;SO285
6900915;429;1;Boogaloo
6900659;429;1;SOCIB ICTS
6900946;429;1;CORYMBE
6901419;429;1;CORYMBE
6901252;429;1;RADMED0818
6901542;429;1;AMOP
4900301;429;1;OPP BBMoMAR
6902835;429;1;VSF 2018 - LONGUE ROUTE
6900637;429;1;GMMC OVIDE 2008
1901194;429;1;GMMC GOODHOPE 2009
6900493;429;1;GMMC OVIDE 2008
6901474;429;1;AMT22
6900768;429;1;Malaspina
6900767;429;1;Malaspina
6900856;429;1;Cruise ANT_XVII/2
6901274;429;1;Raprocan1903
6900641;429;1;GMMC OVIDE 2008
6900728;429;1;GMMC GOODHOPE 2009
5902289;429;1;GMMC GOODHOPE 2009
4900302;429;1;OPP BBMoMAR
4900303;429;1;OPP BBMoMAR
3901869;429;1;M131
4901419;429;1;n/a
3901990;429;1;PLA-POS
6901473;429;1;AMT22
6900595;429;1;M78/2
6900851;429;1;Cruise ANT_XVII/2
3902122;429;1;AMT27-DY084
6903769;429;1;XXXV Antarctica expedition
4901257;429;1;OPP MD2
6900642;429;1;GMMC OVIDE 2008
3902123;429;1;AMT27-DY084
6900771;429;1;Malaspina
3901676;429;1;MSM79
3901677;429;1;MSM79
4901254;429;1;OPP MD2
4901255;429;1;OPP MD2
1900865;429;1;GMMC
4901256;429;1;OPP MD2
1900861;429;1;GMMC
4901258;429;1;OPP MD2
6901832;429;1;AK2014-09
1901095;429;1;OPP MD2
1901096;429;1;OPP MD2
1901097;429;1;OPP MD2
1900863;429;1;GMMC
3900792;429;1;GMMC FLOPS
1900857;429;1;GMMC
1900864;429;1;GMMC
3900991;429;1;GMMC DRAKE
1900855;429;1;GMMC
6900505;429;1;GMMC PROSAT
1901092;429;1;OPP MD2
1901093;429;1;OPP MD2
3901000;429;1;GMMC DRAKE
6900504;429;1;GMMC PROSAT
6900502;429;1;GMMC PROSAT
3901872;429;1;2016618
6900503;429;1;GMMC PROSAT
1900860;429;1;GMMC
1900856;429;1;GMMC
3900791;429;1;GMMC FLOPS
1900862;429;1;GMMC
6900639;429;1;GMMC OVIDE 2008
3902124;429;1;AMT27-DY084
6900601;429;1;2010612
6900810;429;1;2010612
6900811;429;1;ARK XXV/1
1901094;429;1;OPP MD2
6900938;429;1;SAMOC
6901428;429;1;SANAE 52
3900993;429;1;GMMC DRAKE
3900994;429;1;GMMC DRAKE
3900999;429;1;GMMC DRAKE
6901583;429;1;SANAE
6900495;429;1;GMMC OVIDE 2008
6900491;429;1;GMMC OVIDE 2008
6902739;429;1;SoCLIM
6900599;429;1;ARK XXV/2
6900600;429;1;ARK XXV/2
6901427;429;1;SANAE 52
3901681;429;1;MSM79
1901172;429;1;GMMC TRACK
3900992;429;1;GMMC DRAKE
3900990;429;1;GMMC DRAKE
6900496;429;1;GMMC OVIDE 2008
6900494;429;1;GMMC OVIDE 2008
6900698;429;1;GMMC CANOA
3900526;429;1;GMMC FLOPS - Chili
6902587;429;1;n/a
6901835;429;1;REP14
5902306;429;1;OVIDE
6900852;429;1;Cruise ANT_XVII/2
6902738;429;1;SoCLIM
6901968;429;1;n/a
6901964;429;1;n/a
6900664;429;1;OPP BOUM
6900690;429;1;GMMC CANOA
6900691;429;1;GMMC CANOA
6900692;429;1;GMMC CANOA
6900693;429;1;GMMC CANOA
6901456;429;1;PIRATA FR23
6900643;429;1;GMMC OVIDE 2008
6900492;429;1;GMMC OVIDE 2008
1900278;429;1;ARGO SPAIN
1900279;429;1;ARGO SPAIN
7900513;429;1;PS117
6900597;429;1;M78/2
7900563;429;1;TRANSIT
5902305;429;1;OVIDE
6903197;429;1;Euro Fleets
6900780;429;1;Malaspina
6900708;429;1;ESSNAUT
6900786;429;1;SOCIB ICTS
6900231;429;1;ARGO SPAIN
5902313;429;1;SECARGO
6901590;429;1;RARA AVIS
6900781;429;1;Malaspina
6903196;429;1;Micromare2015
6901978;429;1;n/a
6901979;429;1;n/a
6902707;429;1;RREX-BOCATS
6902882;429;1;OVIDE 2018
6900694;429;1;GMMC CANOA
6900783;429;1;Malaspina
5902312;429;1;SECARGO
6901055;429;1;POS 423
6900914;429;1;PIRATA FR21
5902296;429;1;RARA AVIS Opportunity
1901170;429;1;GMMC TRACK
6900751;429;1;ANT-XXVII/2
6900841;429;1;n/a
6900842;429;1;n/a
5902067;429;1;SAMOC
1901169;429;1;GMMC TRACK
1901173;429;1;GMMC TRACK
7900501;429;1;M133
6900782;429;1;Malaspina
6900750;429;1;ANT-XXVII/2
6900676;429;1;OVIDE
6901834;429;1;n/a
6901619;429;1;VSF 2014
6900773;429;1;Malaspina
6901019;429;1;Corymbe
6900564;429;1;RHEIN
6900565;429;1;n/a
3901077;429;1;M77-4
6900682;429;1;n/a
6900683;429;1;n/a
6900700;429;1;GMMC CANOA
3901090;429;1;JR282
6901227;429;1;n/a
6900776;429;1;Malaspina
6900775;429;1;Malaspina
6900766;429;1;Malaspina
6900747;429;1;ANT-XXVII/2
6901814;429;1;SOChlC (PNRA)
1901175;429;1;GMMC TRACK
6901057;429;1;POS 423
3900530;429;1;GMMC_FLOPS
6900944;429;1;SPRAYALIS 02
6900840;429;1;n/a
6900850;429;1;n/a
6902740;429;1;AMT26 (JR16001)
6902736;429;1;SoCLIM
6900726;429;1;PHYSINDIEN 2011
6900752;429;1;ANT-XXVII/2
6900746;429;1;ANT-XXVII/2
6900814;429;1;2010612
6900836;429;1;n/a
6900837;429;1;n/a
3901100;429;1;JR283b
6901015;429;1;Corymbe
6900838;429;1;n/a
6900770;429;1;Malaspina
6900835;429;1;n/a
6900774;429;1;Malaspina
6900563;429;1;RHEIN
6900749;429;1;ANT-XXVII/2
6900772;429;1;RAPROCAN
6900795;429;1;n/a
3901682;429;1;MSM79
6903262;429;1;Ionian Sea
1901197;429;1;TRACK 2010
6900712;429;1;OGS 2009
6901986;429;1;PLA-POS
1901179;429;1;GMMC GOODHOPE 2009
5902283;429;1;GMMC GOODHOPE 2009
6901888;429;1;n/a
6902684;429;1;RREX-BOCATS
5902284;429;1;GMMC GOODHOPE 2009
6900971;429;1;SOJANA - Antigua to Azores
6901731;429;1;OMM-III
6900788;429;1;SOCIB ICTS
6901850;429;1;n/a
6902039;429;1;HOR510615
6902838;429;1;RARA AVIS 2019
6900796;429;1;Aegir-GEO
6901626;429;1;Opportunité VSF
6900787;429;1;SOCIB ICTS
1901195;429;1;GMMC GOODHOPE 2009
6901056;429;1;POS 423
1901183;429;1;TRACK 2010
1901180;429;1;GMMC GOODHOPE 2009
6900935;429;1;Maxi Transatlantique Race
1901200;429;1;KALIAKRA
5902285;429;1;GMMC GOODHOPE 2009
1900848;429;1;Project Pag-Konavle
6900686;429;1;n/a
6901616;429;1;PIRATA FR24
6901228;429;1;n/a
1901470;429;1;n/a
1901199;429;1;TRACK 2010
5902269;429;1;OVIDE
6900797;429;1;Aegir-GEO
5902291;429;1;Merian MSM 15/1
6902718;429;1;PROTEVS PERLE
6901615;429;1;PIRATA FR24
6901551;429;1;ALEXIC
6900966;429;1;ICE_CTD
4901410;429;1;MSM 21-2
5902293;429;1;MOCOSED-SEDIMAFO
6900777;429;1;Malaspina
5902309;429;1;OVIDE
5902307;429;1;OVIDE
6900974;429;1;ICE_CTD
6901021;429;1;CATARINA
